id	name	year	Bevtotaal	Wdicht	Wligplaats	Winstituut	Wcorhuur	Wkoop	Wparthuur
E12	Houthavens	2006	1702		248	0			
E13	Spaarndammer- en Zeeheldenbuurt	2006	10327		15	5			
E14	Staatsliedenbuurt	2006	12094		58	23			
E15	Centrale Markt	2006	2363		24	2			
E16	Frederik Hendrikbuurt	2006	7568		21	7			
E17	Da Costabuurt	2006	4261		63	19			
E18	Kinkerbuurt	2006	5181		13	9			
E19	Van Lennepbuurt	2006	6536		51	6			
E20	Helmersbuurt	2006	6839		12	23			
E21	Overtoomse Sluis	2006	7156		18	21			
E22	Vondelbuurt	2006	1746		0	6			
E36	Sloterdijk	2006	128		0	1			
E37	Landlust	2006	18326		18	0			
E38	Erasmuspark	2006	5177		0	1			
E39	De Kolenkit	2006	6846		0	7			
E40	Geuzenbuurt	2006	6244		0	1			
E41	Van Galenbuurt	2006	5628		0	0			
E42	Hoofdweg e,o,	2006	10281		0	2			
E43	Westindische Buurt	2006	6440		0	3			
E75	Chassébuurt	2006	5654		0	2			
F11	Bedrijventerrein Sloterdijk	2006	66		0	2			
F76	Slotermeer-Noordoost	2006	9106		0	7			
F77	Slotermeer-Zuidwest	2006	16285		4	7			
F78	Geuzenveld	2006	13481		0	62			
F79	Eendracht	2006	2348		0	0			
F80	Lutkemeer/Ookmeer	2006	892		0	1			
F81	Osdorp-Oost	2006	14380		0	12			
F82	Osdorp-Midden	2006	10295		0	3			
F83	De Punt	2006	4902		0	5			
F84	Middelveldsche Akerpolder	2006	14364		13	1			
F85	Slotervaart-Noord	2006	7612		0	7			
F86	Overtoomse Veld	2006	9516		0	20			
F87	Westlandgracht	2006	5156		0	4			
F88	Sloter-/Riekerpolder	2006	13972		12	24			
F89	Slotervaart-Zuid	2006	8603		0	252			
K23	Zuidas	2006	87		0	12			
K24	Oude Pijp	2006	13616		27	6			
K25	Nieuwe Pijp	2006	11348		22	6			
K26	Zuid-Pijp	2006	8221		24	3			
K44	Hoofddorppleinbuurt	2006	10742		44	6			
K45	Schinkelbuurt	2006	3719		0	11			
K46	Willemspark	2006	5149		0	22			
K47	Museumkwartier	2006	12653		2	27			
K48	Stadionbuurt	2006	10133		145	4			
K49	Apollobuurt	2006	8013		0	4			
K52	Scheldebuurt	2006	13176		0	6			
K53	IJselbuurt	2006	5122		8	0			
K54	Rijnbuurt	2006	8504		69	2			
K59	Prinses Irenebuurt e,o,	2006	1155		0	0			
K90	Buitenveldert-West	2006	11646		17	68			
K91	Buitenveldert-Oost	2006	7195		1	3			
M27	Weesperzijde	2006	4414		48	5			
M28	Oosterparkbuurt	2006	10384		0	70			
M29	Dapperbuurt	2006	8427		0	22			
M30	Transvaalbuurt	2006	9606		0	1			
M31	Indische Buurt-West	2006	12643		0	31			
M32	Indische Buurt-Oost	2006	10600		25	5			
M33	Oostelijk Havengebied	2006	16649		219	8			
M34	Zeeburgereiland/Nieuwe diep	2006	426		66	1			
M35	IJburg-West	2006	3183		0	0			
M50	IJburg-Oost	2006							
M51	IJburg-Zuid	2006							
M55	Frankendael	2006	9326		4	83			
M56	Middenmeer	2006	11972		0	5			
M57	Betondorp	2006	3098		0	0			
M58	Omval/Overamstel	2006	1401		93	3			
N60	Volewijck	2006	9944		65	9			
