id	name	year	data1	data2
E38	Erasmuspark	2006	5177	2544
E39	De Kolenkit	2006	6846	3469
E40	Geuzenbuurt	2006	6244	3061
E41	Van Galenbuurt	2006	5628	2769
E42	Hoofdweg e,o,	2006	10281	5115
E43	Westindische Buurt	2006	6440	3071
E75	Chassébuurt	2006	5654	2737
F11	Bedrijventerrein Sloterdijk	2006	66	41
F76	Slotermeer-Noordoost	2006	9106	4620
F77	Slotermeer-Zuidwest	2006	16285	8021
F78	Geuzenveld	2006	13481	6626
F79	Eendracht	2006	2348	1153
F80	Lutkemeer/Ookmeer	2006	892	438
F81	Osdorp-Oost	2006	14380	6714
F82	Osdorp-Midden	2006	10295	4944
F83	De Punt	2006	4902	2314
F84	Middelveldsche Akerpolder	2006	14364	7091
F85	Slotervaart-Noord	2006	7612	3744
F86	Overtoomse Veld	2006	9516	4712
F87	Westlandgracht	2006	5156	2626
F88	Sloter-/Riekerpolder	2006	13972	6936
F89	Slotervaart-Zuid	2006	8603	3903
K23	Zuidas	2006	87	43
K24	Oude Pijp	2006	13616	7060
K25	Nieuwe Pijp	2006	11348	5592
K26	Zuid-Pijp	2006	8221	3922
K44	Hoofddorppleinbuurt	2006	10742	4955
K45	Schinkelbuurt	2006	3719	1798
K46	Willemspark	2006	5149	2535
K47	Museumkwartier	2006	12653	6026
K48	Stadionbuurt	2006	10133	4671
K49	Apollobuurt	2006	8013	3770
K52	Scheldebuurt	2006	13176	5948
K53	IJselbuurt	2006	5122	2442
K54	Rijnbuurt	2006	8504	3918
K59	Prinses Irenebuurt e,o,	2006	1155	538
K90	Buitenveldert-West	2006	11646	5210
K91	Buitenveldert-Oost	2006	7195	3204
M27	Weesperzijde	2006	4414	2237
M28	Oosterparkbuurt	2006	10384	5329
M29	Dapperbuurt	2006	8427	4275
M30	Transvaalbuurt	2006	9606	4841
M31	Indische Buurt-West	2006	12643	6627
M32	Indische Buurt-Oost	2006	10600	5405
M33	Oostelijk Havengebied	2006	16649	8495
M34	Zeeburgereiland/Nieuwe diep	2006	426	212
M35	IJburg-West	2006	3183	1607
M50	IJburg-Oost	2006		0
M51	IJburg-Zuid	2006		0
M55	Frankendael	2006	9326	4405
M56	Middenmeer	2006	11972	5728
M57	Betondorp	2006	3098	1486
M58	Omval/Overamstel	2006	1401	800
N60	Volewijck	2006	9944	4928
N61	IJplein/Vogelbuurt	2006	8136	4081
N62	Tuindorp Nieuwendam	2006	3428	1578
N63	Tuindorp Buiksloot	2006	1905	938
N64	Nieuwendammerdijk/Buiksloterdijk	2006	1579	785
N65	Tuindorp Oostzaan	2006	9423	4537
N66	Oostzanerwerf	2006	8882	4286
N67	Kadoelen	2006	2895	1379
N68	Waterlandpleinbuurt	2006	13235	6184
N69	Buikslotermeer	2006	10639	4949
N70	Banne Buiksloot	2006	13790	6453
N71	Noordelijke IJ-oevers-West	2006	617	298
N72	Noordelijke IJ-oevers-Oost	2006	145	78
N73	Waterland	2006	2076	1073
N74	Elzenhagen	2006	1100	538
T92	Amstel III/Bullewijk	2006	117	73
T93	Bijlmer-Centrum (D,F,H)	2006	21313	10702
T94	Bijlmer-Oost (E,G,K)	2006	22739	11359
T95	Nellestein	2006	2760	1394
T96	Holendrecht/Reigersbos	2006	18273	8505
T97	Gein	2006	12188	5850
T98	Driemond	2006	1517	745
Z99	buiten beschouwing	2006		0
A00	Burgwallen-Oude Zijde	2007	3733	2163
A01	Burgwallen-Nieuwe Zijde	2007	3505	1959
A02	Grachtengordel-West	2007	7641	4432
A03	Grachtengordel-Zuid	2007	5075	2758
A04	Nieuwmarkt/Lastage	2007	8547	4481
A05	Haarlemmerbuurt	2007	6985	3568
A06	Jordaan	2007	18847	9597
A07	De Weteringschans	2007	6916	3607
A08	Weesperbuurt/Plantage	2007	7456	3713
A09	Oostelijke Eilanden/Kadijken	2007	12113	6182
B10	Westelijk Havengebied	2007	257	169
E12	Houthavens	2007	1681	785
E13	Spaarndammer- en Zeeheldenbuurt	2007	10185	5100
