gebiedcode15;gebiednaam;jaar;Bevtotaal;Bev_prog2015;BevMan;BevVrouw;BevMan_p;BevVrouw_p;Bevdicht;Bevbrief;Bevinst;Bevinst_p;Bevstud;Bevpotbbv15_64;Bevpotbbv15_64_p;Bevpotbbv15_74;Bevpotbbv15_74_p;BevSur;BevAntil;BevTurk;BevMarok;BevovNW;BevWest;BevAutoch;BevSur_p;BevAntil_p;BevTurk_p;BevMarok_p;BevovNW_p;BevWest_p;BevAutoch_p;BevNW_p;BevegNW;BevegWest;BevNstedeling;BevNstedeling_p;Bev65auto;Bev65W;Bev65NW;Bev65auto_p;Bev65W_p;Bev65NW_p;Bev17auto;Bev17W;Bev17NW;Bev17auto_p;Bev17W_p;Bev17NW_p;Bevopllaag_p;Bevoplmid_p;Bevoplhoog_p;BevhuishoudenHH;BevgehzkindHH;BevgehmkindHH;BevongehzkindHH;BevongehmkindHH;BeveenouderHH;BevalleenHH;BevoverigHH;BeveenouderHH_p;BevalleenHH_p;BevpaarzkindHH_p;BevpaarmkindHH_p;BevHHmkind;BevHHmkind_p;Bevalleen0_17;Bevalleen18_29;Bevalleen30_49;Bevalleen50_79;Bevalleen80plus;Bevgeb;Bevsterf;Bevvest;Bevvert;Bevvestint;Bevvertint;Bevgelijkint;Bevmutnl_p;Bevmuttot_p;Bevwoonduur;Bev0_4;Bev5_9;Bev10_14;Bev15_19;Bev20_24;Bev25_29;Bev30_34;Bev35_39;Bev40_44;Bev45_49;Bev50_54;Bev55_59;Bev60_64;Bev65_69;Bev70_74;Bev75_79;Bev80_84;Bev85_89;Bev90_94;Bev95_99;Bev100plus;Bev0_3_p;Bev0_3;Bev4_11;Bev12_17;Bev18_22;Bev23_39;Bev40_64;Bev65plus;Bev65plus_p;Bevpeuter;Bev4_12;Bev4_12_p;Bev13_17;Bev0_17;Bev0_17_p;Bev0_18;Bev0_18_p;Bev18plus;Bev5_11;Bev15_26;Bev65_74;Bev75plus;Bev75plus_p;Bev80plus;Bev80plus_p;WvoorrBAG;W_prog2015;Wdicht;Wstandplaats;Wligplaats;Winstituut;Wwibo;Wgeschiktoud_p;Wgeschiktoud65_p;Wnultrede_p;Wcorhuur;Wkoop;Wparthuur;Wcorhuur_p;Wparthuur_p;Wkoop_p;Wopp0060;Wopp6080;Wopp80plus;Wopponb;Wopp0060_p;Wopp6080_p;Wopp80plus_p;Wopponb_p;Wbezet;Wwoz_gem;Wwoz_m2;Whuur_gem;Whuurlaag_p;whuurkwal_p;Whuurtslg_p;Whuurmidden_p;Whuurhoog_p;Whuurquote;Wwoning_r;Wwoningcorp_r;Wwoning65_r;Wonderhoudwoning_r;ORonderhoudwoningen_r;Wverhuis_p;Wverhuis65_p;ORomgevingmooi_r;ORwoningenmooi_r;ORgroenmooi_r;ORaanbodspelen_r;ORverloed_p;OR_verhard_5;OR_gras_5;OR_groen_5;ORschoonstraten_r;ORschoongroen_r;ORschoonspelen_r;ORonderhoudstraten_r;ORonderhoudgroen_r;ORonderhoudspelen_r;Mvervuiling_r;ORopp;ORwater;ORland;ORgroen;ORsport;ORwater_p;ORgroen_p;ORsport_p;ORverblijf_i;VKhard_p;VKagressief_p;Vptotaal;Vpfiscaal;Vpnietfisc;VKparkeren_r;VKfietsparkeren_r;VKparkeeroverlast_r;VKov_r;VKov65_r;VKoverlastverkeer_r;VKverkeerslawaai_r;Lbuurt_r;Lverwachtingbuurt_r;Lbuurtvoor_p;Lbuurtgelijk_p;Lbuurtacht_p;Lsoccoh_r;Lsockwal_p;Lthuisvoelen_r;Lomganggroepenb_r;Lbetrokken_r;Loverl_p;Loverltoe_p;Loverlgelijk_P;Loverlaf_p;Lburenoverlast_r;Loverlastanderegroepen_r;Lhorecaoverlast_r;Lspan_i;Lnegaho_p;Vveiligh_i;Vcrimin_i;Vvolume_i;Vimpact_i;Voverlast_i;Vverloed_i;Vpersonovl_i;Vbeleving_i;Vinbraak_i;Vslacht_p;Vslachtjong_p;Vslachtverm_p;Vslachtgew_p;Vslachtvan_p;Vslachtfiets_p;Vveiligvoelen_p;Vveiligvoelen65_p;Vveiligdag_r;Vveiligavond_r;Vcriminaliteit_r;Vcrimitoe_p;Vcrimigelijk_p;Vcrimiaf_p;Ldrugsovl_p;Ljongerenovl_p;Vjeugdige_p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B10;Westelijk Havengebied;2015;202;;136;66;67;3;32;7;10;4;70;34;7;0;170;84;2;182;90;1;3;0;1;0;10;56;132;1;5;0;0;5;0;5;27;7;65;3;6;9;9;40;88;43;6;18;1;0;94;7;5;3;0;8;5;1;57;1;35;7;7;1;;;;96;6;5;3;1;4;74;3;4;2;77;1;9;4;6;3;10;10;4;0;12;31;30;1;1;1;62;49;14;30;1;23;6;;7;7;5;4;4;6;13;15;15;19;17;27;20;22;16;7;5;5;1;1;0;0;0;1;5;3;8;3;12;55;102;19;9;4;0;9;4;5;2;14;6;9;15;7;4;188;6;25;12;7;3;5;2;1;48;;2;5;49;2;0;;;;0;6;42;0;87;5;12;5;5;11;32;0;10;4;22;9;66;7;0;4;21;189402;1854;;;;;;;;;;;;;;;;;;;;3;3;3;;;;;;;;2899;887;2012;91;55;30;6;4;5;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E12;Houthavens;2015;1602;;732;870;45;7;54;3;5231;7;0;0;660;1428;89;1;1507;94;1;34;33;14;17;151;416;937;2;1;2;1;0;9;1;1;9;4;26;58;5;15;5;171;296;912;56;9;83;10;0;89;2;10;8;0;59;17;14;65;6;18;9;15;6;;;;1166;64;31;140;20;17;866;28;1;5;74;3;17;5;4;4;68;5;8;0;625;100;136;5;5;4;321;534;301;647;22;56;1;;3;2;38;24;19;74;631;227;72;65;61;92;67;76;63;53;26;8;6;0;0;0;0;1;9;31;39;20;446;614;359;93;5;8;9;42;2;6;17;90;5;6;104;6;5;1512;32;848;79;14;0;9;6;0;4;1041;;3399;0;63;0;0;;;;792;187;62;76;1;6;18;715;113;212;1;68;7;10;9;20;4;0;1;1;54;167242;3217;;;;;;;;7;7;;;7;3;7;;;6;7;6;8;5;6;;;5;5;3;6;3;5;8;;6;8;6;7;2;6;7;92;59;33;5;0;63;7;14;1;0;;;;;;;5;9;5;8;;6;3;;6;7;7;7;6;7;9;;;;;;7;9;7;1;6;8;;;;;7;7;6;9;6;100;;96;79;75;83;117;106;129;92;43;;;;;;;;;8;6;8;6;7;;;;;;0;4;;;;;;;;;;;;;;;
E13;Spaarndammer- en Zeeheldenbuurt;2015;10761;;5343;5418;49;7;50;3;8023;32;298;2;8;21;8151;75;7;8882;82;5;916;148;261;888;1158;1764;5626;8;5;1;4;2;4;8;3;10;8;16;4;52;3;31;3;1983;941;3592;33;4;724;149;272;63;2;13;23;8;767;228;676;45;9;13;6;40;5;;;;6224;447;488;684;279;595;3671;60;9;6;59;18;2;12;3;1362;21;9;5;539;1581;1436;110;152;80;699;663;1053;1037;165;13;7;;8;5;618;491;356;398;644;1065;1244;1050;877;831;793;650;599;443;288;186;117;68;37;4;2;4;8;514;731;426;531;3664;3750;1145;10;6;158;798;7;4;359;1671;15;5;1769;16;4;9090;627;1430;731;414;3;8;228;2;1;6013;;4483;0;9;5;147;;;;4059;1219;735;67;5;12;2;20;3;3373;1332;1280;28;56;1;22;2;21;3;0;5;1;79;209713;3427;;;;;;;;7;4;7;1;7;1;7;6;8;;;6;9;6;7;6;7;7;1;29;4;3;4;6;3;6;7;6;8;6;7;6;8;6;9;6;2;141;7;134;49;9;4;9;36;2;6;6;;22;8;;;;6;3;5;9;6;6;7;4;7;6;6;7;6;5;7;6;7;7;35;50;8;5;9;50;7;9;6;9;6;4;13;6;50;9;6;9;7;1;7;7;100;;96;79;75;83;117;106;129;92;43;49;;32;5;15;23;29;;8;4;7;6;6;9;6;55;10;13;16;3;6
E14;Staatsliedenbuurt;2015;13056;;6518;6538;49;9;50;1;27786;38;23;0;2;0;10357;79;3;11067;84;8;604;117;247;883;1290;2591;7324;4;6;0;9;1;9;6;8;9;9;19;8;56;1;24;1;1853;1441;5604;42;9;645;147;256;61;5;14;24;4;904;364;637;47;5;19;1;33;4;;;;7959;499;582;1016;357;576;4847;82;7;2;60;9;19;11;8;1515;19;5;825;2204;1697;116;175;45;713;789;1221;1145;155;12;7;;8;733;467;451;436;714;1556;1709;1383;1157;1066;980;782;574;455;255;173;98;46;14;7;0;4;6;598;777;530;536;5008;4559;1048;8;203;869;6;7;438;1905;14;6;1996;15;3;11151;642;1667;710;338;2;6;165;1;3;7819;;16641;2;55;3;147;36;;17;3874;2360;1585;49;5;20;3;30;2;4695;1551;1513;60;60;19;8;19;4;0;8;1;67;222070;3738;539;;18;62;2;5;28;7;6;7;3;7;5;7;4;7;24;;6;9;6;9;7;1;7;3;29;5;;4;6;4;6;8;6;8;6;8;7;7;6;2;53;6;47;0;0;11;5;0;2;0;2;;12;3;;;;5;6;5;4;6;4;7;4;7;3;7;1;7;7;9;7;7;22;59;10;5;5;43;8;2;7;2;6;4;7;11;46;5;7;1;7;1;7;7;92;;78;67;75;58;88;89;86;80;45;45;;35;1;16;22;19;;8;5;7;8;7;11;52;4;3;4;2;7;;;;;;;;
E15;Centrale Markt;2015;2534;;1240;1294;48;9;51;1;4894;9;10;0;4;0;1930;76;2;2103;83;128;22;52;234;244;429;1425;5;1;0;9;2;1;9;2;9;6;16;9;56;2;26;8;386;190;748;29;5;147;35;57;61;5;14;6;23;8;257;76;162;51;9;15;4;32;7;;;;1287;107;178;121;94;154;621;12;12;48;3;17;7;21;1;426;33;1;1;64;197;339;20;28;13;91;136;194;199;13;10;9;;9;6;113;125;127;195;164;142;180;172;178;235;290;227;147;99;74;35;17;10;3;1;0;3;5;89;182;224;166;557;1077;239;9;4;28;215;8;5;191;495;19;5;523;20;6;2039;158;416;173;66;2;6;31;1;2;1197;;2312;69;24;2;16;;;;610;445;142;51;11;9;37;2;219;353;601;24;18;3;29;5;50;2;2;2;12;266771;3245;;;;;;;;8;2;8;2;;7;8;7;4;;;7;5;7;1;7;9;7;5;;4;3;3;7;7;2;7;1;7;4;7;3;7;3;6;3;57;5;52;1;1;9;6;1;1;;;;;;;5;7;6;5;6;2;7;7;;6;6;6;5;7;9;7;9;;;;;;8;3;7;2;6;9;;;;;7;7;6;8;7;5;93;;83;82;96;69;93;92;93;74;74;;;;;;;;;8;7;7;9;6;5;;;;;;3;1;;;;;;;
E16;Frederik Hendrikbuurt;2015;8377;;4129;4248;49;3;50;7;23347;20;111;1;3;0;6639;79;3;7161;85;5;271;87;151;499;716;1679;4974;3;2;1;1;8;6;8;5;20;59;4;20;6;1044;979;3716;44;4;590;131;120;70;2;15;6;14;3;521;188;312;51;18;4;30;6;;;;5216;313;340;753;200;308;3245;57;5;9;62;2;20;4;10;4;848;16;3;4;659;1318;1138;126;131;89;561;530;870;818;71;14;1;;8;3;448;260;189;240;546;1176;1079;823;705;583;587;475;425;321;201;110;88;63;43;14;1;4;5;377;408;236;408;3332;2775;841;10;119;442;5;3;202;1021;12;2;1061;12;7;7356;337;1185;522;319;3;8;209;2;5;5043;;14055;1;20;5;31;;;;1971;1443;1629;39;1;32;3;28;6;3108;1129;794;12;61;6;22;4;15;7;0;2;1;66;229457;3826;;;;;;;;7;6;7;2;7;9;7;2;7;1;;;6;9;7;6;7;6;9;27;4;3;4;6;7;6;8;6;9;6;9;6;9;6;9;6;4;42;6;36;3;0;14;8;9;5;0;;11;5;;;;6;6;5;8;6;9;8;8;2;6;9;6;7;8;7;8;34;51;10;5;7;49;8;3;7;1;6;5;9;49;5;6;9;7;5;8;93;;83;82;96;69;93;92;93;74;74;50;;37;3;15;25;16;;8;6;7;8;6;9;11;50;6;5;5;3;1;;;;;;;;
E17;Da Costabuurt;2015;4661;;2337;2324;50;1;49;9;21567;12;67;1;4;0;3646;78;2;4000;85;8;126;52;47;137;306;1071;2922;2;7;1;1;1;2;9;6;6;23;62;7;14;3;389;628;2229;47;8;368;83;52;73;2;16;5;10;3;340;122;108;59;6;21;4;18;9;;;;2820;182;178;434;135;168;1668;55;6;59;1;21;8;11;1;481;17;1;1;358;646;616;47;51;21;333;350;503;492;53;15;;8;8;258;148;106;106;371;668;605;427;367;323;308;247;224;216;138;72;37;26;13;1;0;4;7;218;230;122;251;1868;1469;503;10;8;64;247;5;3;105;570;12;2;587;12;6;4091;190;736;354;149;3;2;77;1;7;2634;;12188;1;68;10;32;37;;17;618;847;1169;23;5;44;4;32;2;897;1105;623;9;34;1;42;23;7;0;3;1;77;266965;3870;523;;30;57;6;5;;7;8;7;5;7;8;7;2;7;3;25;;7;2;7;5;6;6;7;27;3;;3;6;7;6;8;7;1;6;9;6;9;7;2;6;3;26;4;22;1;0;16;4;3;8;0;;20;12;;;;6;1;5;6;6;3;8;4;8;3;6;5;8;8;7;6;30;54;14;5;7;52;8;3;7;2;6;6;9;22;50;8;7;5;7;1;7;4;95;;105;109;126;92;122;124;120;84;80;57;;37;6;31;19;36;;8;5;7;5;6;9;10;49;9;3;12;1;8;;;;;;
E18;Kinkerbuurt;2015;6208;;3305;2903;53;2;46;8;24760;659;0;0;11;5159;83;1;5450;87;8;352;82;202;442;523;1138;3469;5;7;1;3;3;3;7;1;8;4;18;3;55;9;25;8;968;655;2873;46;3;254;77;109;57;7;17;5;24;8;342;115;222;50;4;16;9;32;7;;;;4148;186;194;538;124;248;2801;57;6;67;5;17;5;7;7;566;13;6;0;647;1309;792;53;82;35;613;499;1161;1171;69;23;7;;7;1;292;164;153;155;577;997;872;579;500;504;435;291;249;174;117;64;57;22;6;0;0;4;249;266;164;368;2742;1979;440;7;1;86;293;4;7;137;679;10;9;716;11;5;5529;223;1123;291;149;2;4;85;1;4;3407;;13589;2;14;0;13;34;;10;1376;823;1208;40;4;35;5;24;2;2145;818;436;8;63;24;12;8;0;2;1;82;225289;3798;521;;24;62;7;4;27;7;6;6;9;;6;9;6;5;25;;6;6;6;8;6;6;8;30;5;3;4;5;8;6;2;6;3;6;4;6;4;6;6;5;6;27;2;25;1;0;8;5;2;5;0;;27;15;;;;5;4;5;5;8;7;9;;6;6;6;9;8;8;1;59;21;15;5;7;46;8;4;7;2;6;5;22;35;41;5;6;8;7;7;92;;98;86;103;70;126;141;112;82;43;61;;40;5;26;28;20;;8;7;7;7;6;6;12;44;11;7;9;2;8;;;;;;;;;;
E19;Van Lennepbuurt;2015;7131;;3513;3618;49;3;50;7;28445;22;18;0;3;73;5580;78;2;6076;85;2;428;57;240;642;729;1331;3704;6;0;8;3;4;9;10;2;18;7;51;9;29;4;1282;789;2759;38;7;471;125;224;57;4;15;2;27;3;322;122;405;37;9;14;4;47;7;;;;4593;274;280;533;135;312;3010;49;6;8;65;5;17;6;9;727;15;8;0;658;1117;1112;123;92;50;414;437;636;710;47;13;2;;8;8;325;203;203;233;540;994;875;618;482;469;530;446;393;312;184;160;82;49;29;4;0;4;283;323;243;366;2776;2320;820;11;5;92;367;5;1;199;849;11;9;890;12;5;6282;281;1152;496;324;4;5;164;2;3;4452;;17759;0;51;6;54;36;;12;2472;988;992;55;5;22;3;22;2;2709;1133;563;47;60;8;25;4;12;6;1;1;1;6;211052;3706;479;;24;71;3;3;27;7;7;7;7;8;7;1;6;9;27;;6;7;6;5;6;2;6;8;28;5;;4;6;3;6;4;6;5;6;6;6;6;6;7;6;29;4;25;0;0;12;8;0;0;;20;16;;;;5;6;5;3;6;8;2;8;3;6;7;6;7;7;9;7;6;37;52;9;5;3;43;8;2;6;9;5;9;17;11;56;3;7;6;9;7;4;102;;88;74;76;72;92;89;95;100;55;51;;38;2;26;28;23;;8;6;7;6;7;15;50;5;5;7;3;;;;;;;;;
E20;Helmersbuurt;2015;7527;;3591;3936;47;7;52;3;22622;9;24;0;3;10;5796;77;6303;83;7;184;68;71;107;477;1745;4875;2;4;0;9;0;9;1;4;6;3;23;2;64;8;12;523;1000;3637;48;3;501;130;65;72;18;7;9;3;777;231;159;66;6;19;8;13;6;;;;4420;301;336;640;235;273;2561;74;6;2;57;9;21;3;12;9;844;19;1;1;591;980;917;72;100;32;531;559;809;869;104;15;7;;8;3;454;321;260;249;582;962;806;731;617;590;476;424;359;327;180;81;60;35;10;3;0;5;1;383;509;275;427;2771;2466;696;9;2;129;561;7;5;223;1167;15;5;1210;16;1;6360;438;1205;507;189;2;5;108;1;4;4203;;12632;1;13;7;3;;;;1123;1434;1646;26;7;39;2;34;1;1751;1156;1261;35;41;7;27;5;30;0;8;1;79;309549;4085;;;;;;;;8;1;7;7;8;3;7;4;7;2;;;7;3;7;5;7;1;6;9;22;4;;4;6;7;6;7;6;8;6;9;7;6;9;6;5;35;2;33;0;0;4;7;0;0;;10;8;;;;6;1;5;5;6;1;8;1;8;2;6;8;6;5;8;4;7;9;33;52;9;6;53;8;6;7;5;6;5;4;5;42;9;7;4;7;7;3;91;;92;91;98;84;106;111;100;79;56;63;;49;4;27;33;23;;8;7;8;1;7;1;16;44;6;3;6;1;3;;;;;;
E21;Overtoomse Sluis;2015;7747;;3757;3990;48;5;51;5;26298;18;188;2;4;0;6227;80;4;6654;85;9;170;68;81;122;499;1767;5040;2;2;0;9;1;1;6;6;4;22;8;65;1;12;1;517;1014;4080;52;7;409;120;60;69;4;20;4;10;2;660;226;139;64;4;22;13;6;;;;4535;279;316;770;246;253;2593;78;5;6;57;2;23;1;12;4;815;18;1;571;1122;839;60;131;23;615;619;977;1042;154;18;;7;7;470;228;233;204;554;1210;1167;800;601;551;434;389;317;285;142;80;50;17;13;2;0;5;2;404;393;228;349;3492;2292;589;7;6;111;434;5;6;187;1025;13;2;1080;13;9;6722;327;1202;427;162;2;1;82;1;1;4387;;14892;2;18;19;8;27;;19;899;1585;1903;20;5;43;4;36;1;2255;1122;974;36;51;4;25;6;22;2;0;8;1;77;269836;4060;490;;22;57;3;2;28;7;8;7;6;7;7;7;2;7;2;25;;7;1;7;3;7;3;7;4;23;4;;4;6;8;7;7;1;7;7;1;7;1;6;4;31;1;29;1;0;4;6;3;2;0;;13;12;;;;5;2;4;9;5;8;7;9;7;7;6;9;7;8;3;7;9;29;66;4;5;9;53;8;5;7;4;6;4;4;3;59;7;7;1;7;6;7;6;85;;68;53;72;34;84;96;72;66;59;50;;36;1;21;29;14;;8;9;8;2;7;4;6;53;8;1;2;1;;;;;;
E22;Vondelbuurt;2015;1898;;955;943;50;3;49;7;8765;86;89;4;7;11;1309;69;1493;78;7;55;15;6;41;149;538;1094;2;9;0;8;0;3;2;2;7;9;28;3;57;6;14;161;348;731;38;5;245;55;19;76;8;17;2;6;186;71;56;59;4;22;7;17;9;;;;1022;100;94;116;57;64;578;13;6;3;56;6;21;1;14;8;215;21;0;163;187;207;21;20;27;269;193;212;312;18;17;7;;7;8;90;94;86;66;140;178;135;129;157;167;108;126;103;109;75;40;36;27;25;7;0;3;9;74;148;91;102;503;661;319;16;8;28;161;8;5;78;313;16;5;322;17;1585;132;272;184;135;7;1;95;5;903;;4170;3;0;6;1;;;;150;371;382;16;6;42;3;41;1;211;142;522;28;23;4;15;7;57;8;3;1;2;1;595181;4354;;;;;;;;8;4;;;8;7;6;;;7;4;8;1;7;9;7;6;;5;5;5;6;3;7;3;7;1;6;7;7;4;;5;9;22;0;22;2;1;2;1;10;4;4;3;;;;;;;5;4;5;5;5;4;8;2;;6;4;6;4;8;4;7;5;;;;;;8;3;7;4;6;9;;;;;7;7;7;2;6;8;91;;92;91;98;84;106;111;100;79;56;;;;;;;;;8;7;7;9;7;3;;;;;;2;;;;;;;;;;
E36;Sloterdijk;2015;503;;305;198;60;6;39;4;420;16;60;11;9;0;450;89;5;468;93;23;0;3;10;36;115;316;4;6;0;0;6;2;7;2;22;9;62;8;14;3;53;80;302;60;22;3;0;88;12;0;18;12;3;54;5;36;4;9;1;;;;269;20;11;89;11;5;132;1;1;9;49;1;40;5;8;2;27;10;0;42;64;26;0;9;3;81;51;72;96;10;23;3;;3;2;21;5;2;10;35;135;107;47;41;26;18;18;13;9;9;5;0;2;0;0;0;4;2;21;5;7;14;315;116;25;5;6;5;1;7;33;6;6;37;7;4;470;5;88;18;7;1;4;2;0;4;233;;195;0;0;2;0;;;;11;17;205;4;7;88;7;3;42;109;81;1;18;46;8;34;8;0;4;2;16;281944;3591;;;;;;;;;;;;;;;;;;;;3;3;3;;;;;;;;121;2;120;45;0;1;4;37;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E37;Landlust;2015;18742;;9340;9402;49;8;50;2;18222;49;18;0;1;130;14291;76;3;15212;81;2;973;180;2047;3537;1813;2594;7598;5;2;1;10;9;18;9;9;7;13;8;40;5;45;6;4762;1493;5989;32;731;167;524;51;4;11;7;36;8;856;360;2231;24;8;10;4;64;7;;;;10009;691;1278;1372;404;808;5259;197;8;1;52;5;20;6;16;8;2490;24;9;4;1225;2336;1560;134;282;60;1562;1340;1922;2024;197;15;5;;8;2;1264;918;847;755;1719;2372;2349;1867;1492;1245;1053;785;654;550;371;278;134;60;22;6;1;5;5;1037;1488;922;1229;7415;5229;1422;7;6;353;1658;8;8;752;3447;18;4;3606;19;2;15295;1261;3413;921;501;2;7;223;1;2;9273;;9016;3;20;1;25;31;47;15;4486;2350;2437;48;4;26;3;25;3;6157;2202;904;10;66;4;23;7;9;7;0;1;2;2;176092;2978;502;;30;67;3;5;26;6;9;6;3;7;1;6;5;6;3;29;20;6;3;6;1;6;6;7;1;29;5;3;5;6;2;6;5;6;5;6;6;6;7;6;7;5;7;109;6;103;6;2;5;5;5;6;1;6;;22;11;;;;6;7;6;6;8;7;8;7;6;6;8;6;7;6;9;7;1;38;43;10;5;3;39;7;3;6;5;5;8;17;11;39;10;6;8;6;7;8;106;;113;117;125;110;114;111;118;108;101;48;;34;6;19;22;31;;8;6;8;6;13;45;5;8;18;3;7;;;
E38;Erasmuspark;2015;5898;;2859;3039;48;5;51;5;16310;12;0;0;0;4651;78;9;4930;83;6;169;50;511;610;419;1007;3132;2;9;0;8;8;7;10;3;7;1;17;1;53;1;29;8;977;606;2714;46;230;45;144;54;9;10;7;34;4;350;125;445;38;13;6;48;4;;;;3274;216;312;621;161;210;1679;75;6;4;51;3;25;6;14;4;683;20;9;1;388;828;416;46;106;14;494;505;592;682;42;16;9;;7;7;377;243;208;197;536;852;855;706;517;344;283;184;177;174;105;66;40;21;12;1;0;5;5;325;389;206;376;2678;1505;419;7;1;105;432;7;3;163;920;15;6;962;16;3;4978;337;1076;279;140;2;4;74;1;3;3050;;8434;0;0;1;6;33;;21;534;1311;1205;17;5;39;5;43;2147;539;363;1;70;4;17;7;11;9;0;1;93;171532;2853;599;;11;45;3;8;;7;1;6;;6;5;6;3;33;;6;3;6;6;9;7;4;31;4;3;3;6;3;6;5;6;7;6;6;6;7;6;8;5;9;41;4;36;9;0;10;7;25;4;0;;25;13;;;;6;2;5;7;6;6;8;1;;6;9;6;8;7;7;4;48;41;4;5;4;41;7;1;6;6;5;9;30;8;49;19;7;6;9;8;115;;108;88;94;83;110;98;121;126;78;60;;49;7;17;31;49;;7;9;6;7;6;15;49;15;7;19;3;4;;;;;;;;;;;
E39;De Kolenkit;2015;9220;;4484;4736;48;6;51;4;12985;22;44;0;5;24;6711;72;8;7092;76;9;588;103;1696;2645;861;905;2422;6;4;1;1;18;4;28;7;9;3;9;8;26;3;63;9;3015;565;1881;20;4;318;82;338;43;1;11;1;45;8;288;98;1722;13;7;4;6;81;7;;;;4447;305;805;463;140;406;2237;91;9;1;50;3;17;3;21;3;1351;30;4;7;920;646;495;169;140;79;797;679;1611;1427;519;21;4;;6;2;661;567;543;552;1213;1200;840;723;605;467;453;357;301;222;159;112;84;80;59;19;3;6;1;561;902;645;864;3327;2183;738;8;182;1019;11;1;528;2108;22;9;2201;23;9;7112;802;2303;381;357;3;9;245;2;7;4248;;5983;0;1;2;207;39;;34;3191;708;349;75;1;8;2;16;7;2177;706;1365;0;51;2;16;6;32;1;0;2;17;175916;2643;512;;30;78;2;5;27;7;1;6;7;7;8;6;9;5;9;38;;6;1;5;9;6;4;7;3;31;3;3;4;5;9;6;2;6;4;6;2;6;4;6;5;5;6;74;3;71;7;6;4;7;10;2;8;7;;13;16;;;;6;4;6;1;7;1;7;8;8;7;6;6;6;7;6;9;34;51;11;5;4;38;7;6;6;5;9;28;14;47;8;7;3;7;8;1;115;;110;98;86;110;105;104;107;127;129;51;;37;4;11;24;45;;7;7;6;4;5;6;16;48;11;6;21;3;4;;;
E40;Geuzenbuurt;2015;6751;;3206;3545;47;5;52;5;24525;11;19;0;3;0;5355;79;3;5717;84;7;238;48;237;339;480;1250;4159;3;5;0;7;3;5;5;7;1;18;5;61;6;19;9;759;677;3385;50;1;371;97;93;66;1;17;3;16;6;491;161;282;52;6;17;2;30;2;;;;3966;238;295;698;200;248;2217;70;6;3;55;9;23;6;12;5;743;18;7;0;596;972;588;61;121;27;550;520;708;745;48;16;4;;8;1;415;239;181;188;634;1128;993;709;530;399;347;230;197;205;157;108;62;16;11;2;0;5;2;351;378;205;413;3140;1703;561;8;3;106;415;6;1;168;934;13;8;975;14;4;5817;314;1228;362;199;2;9;91;1;3;3645;;13242;0;0;1;2;28;;16;748;1297;1600;20;5;43;9;35;6;2248;972;418;7;61;7;26;7;11;5;0;2;1;85;206504;3305;568;;16;50;8;5;26;7;6;6;6;7;5;6;9;6;8;23;;6;9;6;9;6;9;7;28;5;5;5;6;4;6;8;6;8;6;9;6;8;6;9;6;29;2;28;0;0;5;6;0;0;;15;11;;;;6;5;6;6;3;8;2;8;3;6;7;6;8;7;6;7;9;47;44;5;5;5;42;7;8;6;8;5;8;16;10;52;12;6;8;6;8;8;100;;91;81;83;79;102;102;102;88;98;61;;48;4;21;34;26;;8;3;7;2;6;5;15;52;10;3;8;2;8;;;;
E41;Van Galenbuurt;2015;6749;;3591;3158;53;2;46;8;23450;1142;0;0;0;5447;80;7;5739;85;614;130;564;949;781;937;2774;9;1;1;9;8;4;14;1;11;6;13;9;41;1;45;1804;555;2230;33;271;53;148;57;4;11;2;31;4;276;104;559;29;4;11;1;59;5;;;;4407;217;262;490;105;326;2956;51;7;4;67;1;16;8;3;693;15;7;1;698;1431;767;59;97;31;1014;838;1195;1209;41;23;4;;6;8;392;242;196;208;610;921;932;675;609;495;451;303;243;175;117;92;61;15;12;0;0;4;8;326;391;222;418;2819;2101;472;7;123;424;6;3;189;939;13;9;969;14;4;5810;325;1182;292;180;2;7;88;1;3;3212;;11160;0;0;0;3;41;;16;1649;731;832;51;3;25;9;22;8;2659;375;176;2;82;8;11;7;5;5;0;1;2;1;174739;3120;465;;26;71;4;1;24;7;3;7;2;7;5;6;9;6;7;31;;6;8;6;9;6;9;7;33;3;4;3;5;9;6;6;6;8;6;6;6;7;6;9;5;6;29;1;29;4;4;2;1;13;5;13;5;;30;14;;;;5;8;5;3;6;2;8;;6;7;6;8;7;4;7;5;41;42;9;5;1;38;7;7;6;7;5;8;32;13;46;9;6;5;7;8;2;114;;99;75;78;72;109;100;118;114;88;54;;44;4;16;33;37;;8;2;7;2;6;4;10;45;14;15;11;7;;;;;;;;
